연도,월,품목명,품종명,평균가격,등급명,유통단계별무게,유통단계별단위명
1996 ,1 ,쌀,일반계,34319.333,상품,20,kg
1996 ,1 ,쌀,일반계,33482.048,중품,20,kg
1996 ,1 ,찹쌀,일반계,88167.333,상품,40,kg
1996 ,1 ,찹쌀,일반계,83148.429,중품,40,kg
1996 ,1 ,콩,백태(국산),92043.333,상품,35,kg
1996 ,1 ,콩,백태(국산),85302.905,중품,35,kg
1996 ,1 ,콩,콩나물콩,30396.762,중품,35,kg
1996 ,1 ,콩,백태(수입),83519.095,중품,35,kg
1996 ,1 ,팥,적두(국산),142764.571,상품,40,kg
1996 ,1 ,팥,적두(국산),135850.476,중품,40,kg
1996 ,1 ,팥,적두(수입),71601.143,중품,40,kg
1996 ,1 ,녹두,국산,198836.238,상품,40,kg
1996 ,1 ,녹두,국산,190716.857,중품,40,kg
1996 ,1 ,녹두,수입,140059.238,중품,40,kg
1996 ,1 ,고구마,밤,7782.333,상품,10,kg
1996 ,1 ,고구마,밤,6496.381,중품,10,kg
1996 ,1 ,감자,수미,19494.762,상품,20,kg
1996 ,1 ,감자,수미,16164.286,중품,20,kg
1996 ,1 ,배추,가을,355.81,상품,1,kg
1996 ,1 ,배추,가을,312,중품,1,kg
1996 ,1 ,양배추,양배추,3488.476,상품,10,kg
1996 ,1 ,양배추,양배추,2946.571,중품,10,kg
1996 ,1 ,시금치,시금치,7695.619,상품,4,kg
1996 ,1 ,시금치,시금치,6626.762,중품,4,kg
1996 ,1 ,상추,청,10125,상품,4,kg
1996 ,1 ,상추,청,8949,중품,4,kg
1996 ,1 ,오이,가시계통,11564.857,상품,10,kg
1996 ,1 ,오이,가시계통,10380.19,중품,10,kg
1996 ,1 ,오이,다다기계통,12455.619,상품,10,kg
1996 ,1 ,오이,다다기계통,11193.619,중품,10,kg
1996 ,1 ,호박,애호박,18632.048,상품,20,개
1996 ,1 ,호박,애호박,16999,중품,20,개
1996 ,1 ,호박,쥬키니,12884.476,상품,10,kg
1996 ,1 ,호박,쥬키니,11271.619,중품,10,kg
1996 ,1 ,무,가을,7672.857,상품,20,kg
1996 ,1 ,무,가을,6447.333,중품,20,kg
1996 ,1 ,당근,무세척,9542.667,상품,20,kg
1996 ,1 ,당근,무세척,7736.571,중품,20,kg
1996 ,1 ,건고추,화건,524546.286,상품,60,kg
1996 ,1 ,건고추,화건,481685.238,중품,60,kg
1996 ,1 ,건고추,양건,619947.286,상품,60,kg
1996 ,1 ,건고추,양건,575562.952,중품,60,kg
1996 ,1 ,풋고추,풋고추,43265.095,상품,10,kg
1996 ,1 ,풋고추,풋고추,39305.714,중품,10,kg
1996 ,1 ,붉은고추,붉은고추,83698.476,상품,10,kg
1996 ,1 ,붉은고추,붉은고추,71581.762,중품,10,kg
1996 ,1 ,피마늘,한지1접,9230.333,상품,1,접
1996 ,1 ,피마늘,한지1접,7222.381,중품,1,접
1996 ,1 ,피마늘,난지㎏,11280.905,상품,10,kg
1996 ,1 ,피마늘,난지㎏,9106.048,중품,10,kg
1996 ,1 ,양파,양파,7600.714,상품,20,kg
1996 ,1 ,양파,양파,6672.714,중품,20,kg
1996 ,1 ,파,대파,744.143,상품,1,kg
1996 ,1 ,파,대파,624.238,중품,1,kg
1996 ,1 ,생강,국산,35628.095,상품,20,kg
1996 ,1 ,생강,국산,29146.19,중품,20,kg
1996 ,1 ,미나리,미나리,29136.619,상품,20,kg
1996 ,1 ,미나리,미나리,25079.81,중품,20,kg
1996 ,1 ,참깨,백색(국산),312689.81,상품,30,kg
1996 ,1 ,참깨,백색(국산),296315.524,중품,30,kg
1996 ,1 ,참깨,중국,110322.048,중품,30,kg
1996 ,1 ,들깨,국산,129252.857,상품,45,kg
1996 ,1 ,들깨,국산,120227.048,중품,45,kg
1996 ,1 ,들깨,수입,64567.286,중품,45,kg
1996 ,1 ,땅콩,국산,87502.619,상품,30,kg
1996 ,1 ,땅콩,국산,80875.19,중품,30,kg
1996 ,1 ,땅콩,수입,62152.143,중품,30,kg
1996 ,1 ,사과,후지,12258.286,상품,10,kg
1996 ,1 ,사과,후지,9931.429,중품,10,kg
1996 ,1 ,배,신고,31860.19,상품,15,kg
1996 ,1 ,배,신고,27801.286,중품,15,kg
1996 ,1 ,감귤,감귤,12273.619,상품,10,kg
1996 ,1 ,감귤,감귤,10269.571,중품,10,kg
1996 ,1 ,단감,단감,22797.81,상품,10,kg
1996 ,1 ,단감,단감,19856.952,중품,10,kg
1996 ,1 ,바나나,수입,11344.286,상품,13,kg
1996 ,1 ,바나나,수입,9852.381,중품,13,kg
1996 ,1 ,참다래,국산,21082.571,상품,10,kg
1996 ,1 ,참다래,국산,18468.238,중품,10,kg
1996 ,1 ,참다래,수입,29895.238,상품,10,kg
1996 ,1 ,참다래,수입,27300,중품,10,kg
1996 ,1 ,파인애플,수입,9449.476,상품,12,kg
1996 ,1 ,파인애플,수입,7937.286,중품,12,kg
1996 ,1 ,고등어,생선,18950.857,중품,10,kg
1996 ,1 ,고등어,냉동,15142.905,중품,10,kg
1996 ,1 ,갈치,생선,7437.333,중품,1,kg
1996 ,1 ,갈치,냉동,5099.524,중품,1,kg
1996 ,1 ,명태,생선,90023.81,중품,20,kg
1996 ,1 ,명태,냉동,27147.571,중품,20,kg
1996 ,1 ,물오징어,생선,2844.762,중품,1,kg
1996 ,1 ,물오징어,냉동,1803.619,중품,1,kg
1996 ,1 ,건멸치,건멸치,35628.762,중품,1.5,kg
1996 ,1 ,북어,황태,10302.952,중품,10,마리
1996 ,1 ,북어,먹태,9829.095,중품,10,마리
1996 ,1 ,건오징어,건오징어,13218.667,중품,20,마리
1996 ,1 ,김,김,2729.143,중품,1,속
1996 ,1 ,건미역,건미역,7571.667,상품,1,kg
1996 ,1 ,굴,굴,6944.762,상품,1,kg
1996 ,2 ,쌀,일반계,34403.105,상품,20,kg
1996 ,2 ,쌀,일반계,33511.263,중품,20,kg
1996 ,2 ,찹쌀,일반계,87889.053,상품,40,kg
1996 ,2 ,찹쌀,일반계,82960.316,중품,40,kg
1996 ,2 ,콩,백태(국산),88997,상품,35,kg
1996 ,2 ,콩,백태(국산),82779.895,중품,35,kg
1996 ,2 ,콩,콩나물콩,29122.632,중품,35,kg
1996 ,2 ,콩,백태(수입),83885.316,중품,35,kg
1996 ,2 ,팥,적두(국산),141368.316,상품,40,kg
1996 ,2 ,팥,적두(국산),134398.526,중품,40,kg
1996 ,2 ,팥,적두(수입),72154,중품,40,kg
1996 ,2 ,녹두,국산,206535.632,상품,40,kg
1996 ,2 ,녹두,국산,197904.158,중품,40,kg
1996 ,2 ,녹두,수입,146319.947,중품,40,kg
1996 ,2 ,고구마,밤,9215.316,상품,10,kg
1996 ,2 ,고구마,밤,7929.526,중품,10,kg
1996 ,2 ,감자,수미,22182.316,상품,20,kg
1996 ,2 ,감자,수미,18345.789,중품,20,kg
1996 ,2 ,배추,가을,372.263,상품,1,kg
1996 ,2 ,배추,가을,330.421,중품,1,kg
1996 ,2 ,양배추,양배추,3521.421,상품,10,kg
1996 ,2 ,양배추,양배추,2966.526,중품,10,kg
1996 ,2 ,시금치,시금치,7903.474,상품,4,kg
1996 ,2 ,시금치,시금치,6698.842,중품,4,kg
1996 ,2 ,상추,청,6677.105,상품,4,kg
1996 ,2 ,상추,청,5573.105,중품,4,kg
1996 ,2 ,오이,가시계통,11148,상품,10,kg
1996 ,2 ,오이,가시계통,9911.474,중품,10,kg
1996 ,2 ,오이,다다기계통,13267.684,상품,10,kg
1996 ,2 ,오이,다다기계통,11978.263,중품,10,kg
1996 ,2 ,호박,애호박,19555.947,상품,20,개
1996 ,2 ,호박,애호박,17693.579,중품,20,개
1996 ,2 ,호박,쥬키니,12251.895,상품,10,kg
1996 ,2 ,호박,쥬키니,10582.789,중품,10,kg
1996 ,2 ,딸기,딸기,3594.583,상품,1,kg
1996 ,2 ,딸기,딸기,3070.833,중품,1,kg
1996 ,2 ,무,가을,9024.789,상품,20,kg
1996 ,2 ,무,가을,7758.737,중품,20,kg
1996 ,2 ,당근,무세척,10103.316,상품,20,kg
1996 ,2 ,당근,무세척,8354.526,중품,20,kg
1996 ,2 ,건고추,화건,540488.579,상품,60,kg
1996 ,2 ,건고추,화건,497631.421,중품,60,kg
1996 ,2 ,건고추,양건,631842.105,상품,60,kg
1996 ,2 ,건고추,양건,587556.421,중품,60,kg
1996 ,2 ,풋고추,풋고추,67505.737,상품,10,kg
1996 ,2 ,풋고추,풋고추,62024.526,중품,10,kg
1996 ,2 ,붉은고추,붉은고추,59197.474,상품,10,kg
1996 ,2 ,붉은고추,붉은고추,50377.105,중품,10,kg
1996 ,2 ,피마늘,한지1접,9026.263,상품,1,접
1996 ,2 ,피마늘,한지1접,7035.053,중품,1,접
1996 ,2 ,피마늘,난지㎏,11060.263,상품,10,kg
1996 ,2 ,피마늘,난지㎏,8942.895,중품,10,kg
1996 ,2 ,양파,양파,8278.895,상품,20,kg
1996 ,2 ,양파,양파,7318.684,중품,20,kg
1996 ,2 ,파,대파,824.474,상품,1,kg
1996 ,2 ,파,대파,696.368,중품,1,kg
1996 ,2 ,생강,국산,37935.842,상품,20,kg
1996 ,2 ,생강,국산,31439.947,중품,20,kg
1996 ,2 ,미나리,미나리,32036.842,상품,20,kg
1996 ,2 ,미나리,미나리,27882.684,중품,20,kg
1996 ,2 ,참깨,백색(국산),311827.947,상품,30,kg
1996 ,2 ,참깨,백색(국산),295514.053,중품,30,kg
1996 ,2 ,참깨,중국,108614.632,중품,30,kg
1996 ,2 ,들깨,국산,128937.526,상품,45,kg
1996 ,2 ,들깨,국산,120370.368,중품,45,kg
1996 ,2 ,들깨,수입,63287.579,중품,45,kg
1996 ,2 ,땅콩,국산,88835.158,상품,30,kg
1996 ,2 ,땅콩,국산,82414.579,중품,30,kg
1996 ,2 ,땅콩,수입,61714.263,중품,30,kg
1996 ,2 ,사과,후지,13451.105,상품,10,kg
1996 ,2 ,사과,후지,11057.579,중품,10,kg
1996 ,2 ,배,신고,34766.895,상품,15,kg
1996 ,2 ,배,신고,30503.737,중품,15,kg
1996 ,2 ,감귤,감귤,13455.368,상품,10,kg
1996 ,2 ,감귤,감귤,11384.368,중품,10,kg
1996 ,2 ,단감,단감,24096.632,상품,10,kg
1996 ,2 ,단감,단감,21191.737,중품,10,kg
1996 ,2 ,바나나,수입,12185.368,상품,13,kg
1996 ,2 ,바나나,수입,10717.789,중품,13,kg
1996 ,2 ,참다래,국산,21394.789,상품,10,kg
1996 ,2 ,참다래,국산,18561.579,중품,10,kg
1996 ,2 ,참다래,수입,29931.579,상품,10,kg
1996 ,2 ,참다래,수입,27331.579,중품,10,kg
1996 ,2 ,파인애플,수입,9715.789,상품,12,kg
1996 ,2 ,파인애플,수입,8205.789,중품,12,kg
1996 ,2 ,고등어,생선,19324.368,중품,10,kg
1996 ,2 ,고등어,냉동,14820.105,중품,10,kg
1996 ,2 ,갈치,생선,7608.211,중품,1,kg
1996 ,2 ,갈치,냉동,5173.579,중품,1,kg
